dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,0928133_group_063_en_gb,44,GBP,£2.99,kids_baby_girl_clothing_dresses,Flounce-trimmed jersey dress,"12M,17M,18M,16M,11M,4M,1Y,9M,4Y,10M,7M,13M,2Y,5M,14M,15M,3Y,8M,6M","Light blue/Strawberries,Dark blue/Floral,Natural white/Striped,Yellow/Floral,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/55/ac/55ac0bac63f59ed32eadb9658d9f28ffb38bf84a.jpg,https://www2.hm.com//en_gb/productpage.0928133063.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0928133_group_060_en_gb,44,GBP,£2.99,kids_baby_girl_clothing_dresses,Flounce-trimmed jersey dress,"9M,1Y,16M,4Y,12M,13M,8M,11M,17M,7M,15M,3Y,10M,18M,14M,2Y,5M,6M,4M","Light pink/Cherries,Dark blue/Floral,Natural white/Striped,Yellow/Floral,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/83/74/837487ecb8be552055d43d4862b9b1dbe16e9e39.jpg,https://www2.hm.com//en_gb/productpage.0928133060.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0764758_group_033_en_gb,44,GBP,£8.99,kids_baby_boy_clothing_jumperssweatshirts_sweatshirts,2-pack cotton sweatshirts,"15M,17M,1Y,0M,13M,9M,1M,11M,14M,2M,3Y,6M,12M,2Y,18M,4Y,5M,16M,3M,10M,8M,4M,7M","Mole/Natural white marl,Blue/Light grey marl,Black/Light grey marl,Blue/Light blue,dc",https://image.hm.com/assets/hm/b5/02/b502279e56235aea26dddbc1e809fa3f22ddfea0.jpg,https://www2.hm.com//en_gb/productpage.0764758033.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0928133_group_044_en_gb,44,GBP,£2.99,kids_baby_girl_clothing_dresses,Flounce-trimmed jersey dress,"6M,13M,4M,11M,5M,3Y,2Y,12M,10M,14M,8M,17M,4Y,18M,15M,1Y,16M,9M,7M","Light green/Floral,Dark blue/Floral,Natural white/Striped,Yellow/Floral,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/d0/ba/d0bab015dbf19467c0aa96645e6028395bf4ddb0.jpg,https://www2.hm.com//en_gb/productpage.0928133044.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0928133_group_056_en_gb,44,GBP,£2.99,kids_baby_girl_clothing_dresses,Flounce-trimmed jersey dress,"8M,2Y,10M,11M,3Y,9M,17M,4Y,5M,14M,13M,12M,15M,4M,6M,16M,1Y,7M,18M","Green/Floral,Dark blue/Floral,Natural white/Striped,Yellow/Floral,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/24/4e/244ec20e465e213fb29a27b14e0ab0396c585472.jpg,https://www2.hm.com//en_gb/productpage.0928133056.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1220089_group_002_en_gb,44,GBP,£8.99,kids_baby_boy_clothing_shorts,3-pack ribbed cycling shorts,"15M,10M,3M,3Y,2M,12M,4Y,1M,2Y,16M,7M,8M,13M,5M,9M,14M,18M,4M,11M,17M,6M,1Y","Light beige/Dark grey,Light pink/Dark blue",https://image.hm.com/assets/hm/67/ee/67ee5d937a0378dcfa97bb7330d754fa351f3046.jpg,https://www2.hm.com//en_gb/productpage.1220089002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1226638_group_004_en_gb,44,GBP,£2.99,kids_baby_boy_clothing_trousersjeans_leggingstreggings,Ribbed cotton leggings,"0M,7M,2Y,16M,3M,18M,6M,1M,9M,14M,5M,4M,3Y,2M,11M,8M,15M,1Y,17M,10M,13M,12M","Pink,Dark grey,Mole,Light khaki green",https://image.hm.com/assets/hm/58/29/5829eb0dd834153d29d1d55c9e85920559998540.jpg,https://www2.hm.com//en_gb/productpage.1226638004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1226638_group_002_en_gb,44,GBP,£2.99,kids_baby_boy_clothing_trousersjeans_leggingstreggings,Ribbed cotton leggings,"9M,16M,1M,2M,5M,17M,13M,4M,7M,2Y,11M,14M,6M,10M,8M,12M,15M,3M,18M,0M,1Y","Mole,Dark grey,Light khaki green,Pink",https://image.hm.com/assets/hm/9a/71/9a7161f82f48e88332e95bb310a98d1d2bcf5ce0.jpg,https://www2.hm.com//en_gb/productpage.1226638002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1226638_group_001_en_gb,44,GBP,£2.99,kids_baby_boy_clothing_trousersjeans_leggingstreggings,Ribbed cotton leggings,"7M,0M,16M,12M,11M,9M,4M,2Y,18M,1Y,14M,15M,17M,13M,5M,6M,1M,10M,8M,3M,2M","Dark grey,Mole,Light khaki green,Pink",https://image.hm.com/assets/hm/07/a8/07a8c21aa197fa64241532b725602242efb03ec8.jpg,https://www2.hm.com//en_gb/productpage.1226638001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1202112_group_001_en_gb,44,GBP,£2.99,kids_baby_boy_accessories_hats,Cotton bucket hat,"1Y,3Y,7M,1M,9M,2Y,10M,11M,5M,4M,0M,2M,6M,4Y,3M,12M,8M","Beige,Navy blue,White,Light pink",https://image.hm.com/assets/hm/c1/b8/c1b8fa88f7ec1ca7a2512e5c7450210c1cf25265.jpg,https://www2.hm.com//en_gb/productpage.1202112001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0928133_group_059_en_gb,44,GBP,£2.99,kids_baby_girl_clothing_dresses,Flounce-trimmed jersey dress,"4Y,3Y,1Y,17M,5M,2Y,11M,16M,8M,6M,12M,18M,13M,14M,15M,9M,4M,10M,7M","Dark blue/Floral,Dark blue/Floral,Natural white/Striped,Yellow/Floral,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/82/f0/82f0472be1a0861ff001da9b012c2b121fc21fe1.jpg,https://www2.hm.com//en_gb/productpage.0928133059.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0594177_group_045_en_gb,44,GBP,£8.99,kids_baby_boy_clothing_trousersjeans_joggerssweatpants,2-pack joggers,"12M,8M,6M,3M,18M,3Y,13M,14M,0M,11M,10M,16M,17M,7M,1Y,15M,2Y,4M,1M,2M,9M","Dark beige/Natural white marl,Blue/Light grey marl,Black/Light grey marl,Light dusty blue,dc",https://image.hm.com/assets/hm/88/bb/88bbbf730072dac8b0af3d0977d5b6364fb66e27.jpg,https://www2.hm.com//en_gb/productpage.0594177045.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1089753_group_055_en_gb,44,GBP,£5.99,kids_baby_girl_clothing_jumperssweatshirts_sweatshirts,Sweatshirt,"8M,7M,11M,18M,15M,4M,4Y,5M,6M,2Y,1Y,14M,3Y,10M,16M,12M,9M,17M,13M","Light pink/Cherries,Cream/Ballerinas,White/Strawberries,Red/Heart",https://image.hm.com/assets/hm/15/0d/150d2caf6e44ab368e5c750712b9be05e70c46f9.jpg,https://www2.hm.com//en_gb/productpage.1089753055.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1216362_group_002_en_gb,44,GBP,£14.99,kids_baby_boy_shoes_sandalsflipflops,Sandals,"7,6.5,5.5,5,3,4,2,8","Beige,Denim blue",https://image.hm.com/assets/hm/11/6a/116a61d9f0d23298d95947e373c8e56017d3c9d2.jpg,https://www2.hm.com//en_gb/productpage.1216362002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0867135_group_113_en_gb,44,GBP,£8.99,kids_baby_boy_clothing_trousersjeans_trousers,Ribbed cotton set,"4M,1Y,16M,7M,6M,1M,17M,9M,2M,2Y,8M,14M,3Y,18M,5M,15M,4Y,13M,3M,0M,10M,11M,12M","Lilac,Light pink,Red,Light beige,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/09/92/0992906bbdb544530ab733d37d04aa493da27113.jpg,https://www2.hm.com//en_gb/productpage.0867135113.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1199428_group_001_en_gb,44,GBP,£9.99,kids_baby_girl_clothing_jumpsuitsplaysuits,Frill-trimmed muslin romper suit,"9M,3Y,8M,10M,13M,1Y,11M,15M,16M,5M,12M,14M,2Y,18M,17M,7M,4M,6M,4Y",Light pink,https://image.hm.com/assets/hm/7d/6c/7d6cc32956b331f9f576ff401daf73b6c8338e8d.jpg,https://www2.hm.com//en_gb/productpage.1199428001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0579010_group_077_en_gb,44,GBP,£4.99,kids_baby_boy_clothing_jumperssweatshirts_sweatshirts,Cotton sweatshirt,"15M,4Y,2Y,5M,12M,16M,13M,8M,3Y,1M,3M,6M,11M,18M,17M,4M,2M,10M,1Y,0M,9M,7M,14M","Cream/Cherries,Black,Light grey marl,Light blue,dc,dc,dc,dc",https://image.hm.com/assets/hm/92/3d/923d5104ac06e4b2a3416bed4342f1017f849c08.jpg,https://www2.hm.com//en_gb/productpage.0579010077.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0867135_group_107_en_gb,44,GBP,£8.99,kids_baby_boy_clothing_trousersjeans_trousers,Ribbed cotton set,"7M,6M,10M,15M,1M,14M,1Y,13M,4M,3M,8M,17M,2Y,11M,9M,5M,0M,12M,18M,2M,16M","Dark grey,Light pink,Red,Light beige,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/0a/64/0a646eb5ea9d4b598ab17cde5621827f51e0ba6f.jpg,https://www2.hm.com//en_gb/productpage.0867135107.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1088033_group_008_en_gb,44,GBP,£12.99,kids_baby_boy_clothing_bodysuits_shortsleeve,5-pack cotton bodysuits,"5M,2Y,1Y,4Y,7M,11M,3M,4M,2M,0M,13M,12M,10M,9M,18M,15M,16M,8M,3Y,14M,17M,1M,6M","Dark grey/Light grey marl,Blue/White,Light pink/Light grey marl,Dark beige/Light beige,dc,dc",https://image.hm.com/assets/hm/a1/de/a1de7cd039116c8bd31c452012b43e64eb85d549.jpg,https://www2.hm.com//en_gb/productpage.1088033008.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1075329_group_027_en_gb,44,GBP,£3.99,kids_baby_girl_clothing_sockstights_socks,5-pack textured-knit socks,"9,2,4,0.5,0,3.5,000,8.5,1,7.5,3,4.5","Light pink/Light purple,Khaki green/Dusky pink,White,Light blue/Blue,dc",https://image.hm.com/assets/hm/ca/40/ca40a4533d8c67450c117c70481feb5c06cc807a.jpg,https://www2.hm.com//en_gb/productpage.1075329027.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1146165_group_024_en_gb,44,GBP,£2.99,kids_baby_boy_clothing_bodysuits_longsleeve,Long-sleeved bodysuit,"10M,11M,14M,2Y,16M,7M,13M,18M,4Y,1Y,6M,15M,12M,9M,17M,8M,3Y","Cream/The Cutest,Dark grey/Hearts,Cream/Floral,Pink/Rabbits,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/e0/dc/e0dce7528fc8ffd9dae7239d8a7225a829ef3b7c.jpg,https://www2.hm.com//en_gb/productpage.1146165024.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1226638_group_003_en_gb,44,GBP,£2.99,kids_baby_boy_clothing_trousersjeans_leggingstreggings,Ribbed cotton leggings,"0M,17M,11M,10M,16M,1M,6M,14M,2M,1Y,13M,12M,7M,15M,9M,4M,8M,3M,18M","Light khaki green,Dark grey,Mole,Pink",https://image.hm.com/assets/hm/1d/56/1d56857f15c34f2a65fd2ce4043ce01254cc11b9.jpg,https://www2.hm.com//en_gb/productpage.1226638003.html
