dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,0768858_group_011_en_gb,44,GBP,£11.00,kids_baby_boy_clothing_trousersjeans_trousers,Shirt and chinos,"1Y,2Y",Dark blue/White,https://image.hm.com/assets/hm/c0/fa/c0fae016f3b2a3bfc993b6eba9b9782b147221ed.jpg,https://www2.hm.com//en_gb/productpage.0768858011.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1039781_group_003_en_gb,44,GBP,£8.00,kids_baby_boy_shoes_sandalsflipflops,Strappy sandals,"6.5,7","Powder pink,White,Brown",https://image.hm.com/assets/hm/4f/00/4f008e712110bdc1ceb1a647a387e9166279b879.jpg,https://www2.hm.com//en_gb/productpage.1039781003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0943611_group_006_en_gb,44,GBP,£8.00,kids_baby_girl_clothing_shorts,3-pack cotton shorts,"2Y,4Y,3Y",Light blue/Hearts,https://image.hm.com/assets/hm/59/f6/59f6fcff3e21abf6f77780279173238e80d966a4.jpg,https://www2.hm.com//en_gb/productpage.0943611006.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1191583_group_001_en_gb,44,GBP,£8.00,kids_baby_girl_clothing_dresses,Collared velvet dress,"13M,11M,16M,6M,10M,4Y,14M,17M,2Y,5M,7M,4M,1Y,12M,18M,15M,9M,8M,3Y",Dark red,https://image.hm.com/assets/hm/74/4c/744cffbed8d15e3b7e40ecea0523a62e9abd69bb.jpg,https://www2.hm.com//en_gb/productpage.1191583001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0946626_group_004_en_gb,44,GBP,£18.00,kids_newbornbaby_essentials_babymat,Cotton baby mat,95x116,"Light pink,Dark grey,Light beige",https://image.hm.com/assets/hm/34/9e/349ea2a4a6e611d8c7adf50f7b64f766b948ccac.jpg,https://www2.hm.com//en_gb/productpage.0946626004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1163020_group_004_en_gb,44,GBP,£5.00,kids_baby_boy_clothing_tshirtsshirts_shirts,Cotton shirt,"14M,1Y,15M,18M,16M,12M,17M,10M,13M,11M,9M","Light beige/Checked,Grey/Dogtooth-patterned,Dark blue/Checked,Dark blue/Checked,dc",https://image.hm.com/assets/hm/5b/83/5b83cba67cd8ac4010aa393b4b713d89d6c1f5e4.jpg,https://www2.hm.com//en_gb/productpage.1163020004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1163007_group_002_en_gb,44,GBP,£7.00,kids_baby_boy_clothing_tshirtsshirts_shirts,Cotton flannel shirt,"8M,13M,6M,2Y,12M,10M,7M,16M,14M,4M,18M,5M,9M,3Y,15M,1Y,11M,4Y,17M","Dark blue/Checked,Beige/Checked,Dark blue/Checked",https://image.hm.com/assets/hm/ac/3d/ac3d9e7348e1b9f8c47b7dee65027a92d57e9491.jpg,https://www2.hm.com//en_gb/productpage.1163007002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1178042_group_001_en_gb,44,GBP,£3.00,kids_baby_boy_accessories_hats,Cotton beanie,"2Y,6M,4M,1Y,12M,3M,10M,9M,2M,7M,8M,11M,5M",Dark blue,https://image.hm.com/assets/hm/ed/4b/ed4b5426bf5172f8859f3cf49cbf84f4f90da65a.jpg,https://www2.hm.com//en_gb/productpage.1178042001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0493103_group_035_en_gb,44,GBP,£2.00,kids_baby_girl_clothing_sockstights_tights,2-pack tights,"1M,0M,2M","Black,Powder pink/Old rose,Beige marl,White,dc,dc,dc",https://image.hm.com/assets/hm/c7/ac/c7acc865cf37d261c9b8268a052ec931a8fb2f40.jpg,https://www2.hm.com//en_gb/productpage.0493103035.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0992045_group_002_en_gb,44,GBP,£11.00,kids_newbornbaby_toys_softtoys,Soft toy,,Beige/Teddy bear,https://image.hm.com/assets/hm/99/e9/99e9d6cf30ca33e894405016980f2362d4a4078f.jpg,https://www2.hm.com//en_gb/productpage.0992045002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0813557_group_029_en_gb,44,GBP,£6.00,kids_baby_boy_clothing_tshirtsshirts_shirts,Cotton shirt,"14M,7M,10M,16M,8M,15M,18M,13M,9M,1Y,3Y,2Y,12M,17M,11M,4M,5M,6M,4Y","Red,White",https://image.hm.com/assets/hm/b3/66/b36688581a7d2a471ed502192af320ca1eea00b5.jpg,https://www2.hm.com//en_gb/productpage.0813557029.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1163017_group_002_en_gb,44,GBP,£12.00,kids_baby_boy_clothing_trousersjeans_trousers,Dressy set,"16M,18M,2Y,11M,14M,15M,10M,5M,1Y,6M,8M,7M,17M,13M,4M,12M,9M","Dark blue/Checked,Light blue/Dark grey",https://image.hm.com/assets/hm/75/60/756088349622286bd5a0f17c8c9c2db0e061a982.jpg,https://www2.hm.com//en_gb/productpage.1163017002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1166885_group_001_en_gb,44,GBP,£12.00,kids_baby_girl_outerwear_jacketscoats,Fluffy jacket,"4M,6M,1Y,7M,16M,12M,17M,8M,13M,5M,4Y,10M,15M,2Y,9M,11M,14M,18M,3Y",Dark beige-pink,https://image.hm.com/assets/hm/3d/c6/3dc66e1f6f6f5775cbc4394e3fe695dfb367c585.jpg,https://www2.hm.com//en_gb/productpage.1166885001.html
