dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1044763_group_002_en_gb,44,GBP,£8.00,ladies_beauty_makeupbagstravel,Wash bag,,"Transparent,Transparent/Pink,Transparent/Black,Hot pink,dc",https://image.hm.com/assets/hm/ab/01/ab010df8b96e92cdb726e359fea5820724b24146.jpg,https://www2.hm.com//en_gb/productpage.1044763002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486207_group_095_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Sibylline,Rum Raisin D’être,Starfish,Peachy Keen,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/c1/07/c1077ee83d604d0440feaf6450b3353f505667a4.jpg,https://www2.hm.com//en_gb/productpage.0486207095.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0914067_group_020_en_gb,44,GBP,£6.00,ladies_beauty_lips_lipstick,Matte lipstick,,"Best Dressed,Classic Red,Strawberry Mochi,Red Alert,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/d5/44/d544da0b5b335c134ee2eab929af81df947cde08.jpg,https://www2.hm.com//en_gb/productpage.0914067020.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486215_group_079_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Beyond Midnight,Regalia,Lilac Whimsy,Go-to-Greige,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/4d/4a/4d4ae07f1c03530814fe25d9e8205576a1708f3a.jpg,https://www2.hm.com//en_gb/productpage.0486215079.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486207_group_038_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Red Carpet,Rum Raisin D’être,Starfish,Peachy Keen,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/42/71/4271e763666ad8298a43f9b377e023857f033d34.jpg,https://www2.hm.com//en_gb/productpage.0486207038.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486211_group_044_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Neo Noir,Brickwork,Bare With Me,Bitter Chocolate,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/c8/de/c8de97fb7de12e98d3e0ad6cdefe704f42b157da.jpg,https://www2.hm.com//en_gb/productpage.0486211044.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0914067_group_016_en_gb,44,GBP,£6.00,ladies_beauty_lips_lipstick,Matte lipstick,,"Dance To The Beet,Classic Red,Strawberry Mochi,Red Alert,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/3d/e9/3de96d5383890b77c55f81089b385741cedd1bc7.jpg,https://www2.hm.com//en_gb/productpage.0914067016.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486211_group_035_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Ice Cold Milk,Brickwork,Bare With Me,Bitter Chocolate,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/f5/e4/f5e481bcb4ebe57c623fac6f658fda6c7bea693e.jpg,https://www2.hm.com//en_gb/productpage.0486211035.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486207_group_076_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Rose Chiffon,Rum Raisin D’être,Starfish,Peachy Keen,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/3f/e4/3fe40328eb1fccaac9eff5b30489926a1651db2a.jpg,https://www2.hm.com//en_gb/productpage.0486207076.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0486207_group_001_en_gb,44,GBP,£3.00,ladies_beauty_nails_nailpolish,Nail polish,,"Rum Raisin D’être,Starfish,Peachy Keen,Sunlit Snapdragon,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/9f/3b/9f3befd81d6fa2fa1533d65ab2ba8c301020be46.jpg,https://www2.hm.com//en_gb/productpage.0486207001.html
