dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,0502190_group_003_en_gb,44,GBP,£9.99,home_textiles_cushions_covers,Washed linen cushion cover,50x50,"Linen beige,Anthracite grey,Greige,White,dc,dc,dc",https://image.hm.com/assets/hm/a6/ed/a6ed757492a015cd6d25f50467bc62f5001d2011.jpg,https://www2.hm.com//en_gb/productpage.0502190003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1100263_group_002_en_gb,44,GBP,£7.99,home_textiles_cushions_innercushions,Polyester-filled inner cushion,50x50,White,https://image.hm.com/assets/hm/b7/87/b787b0aeec1adfcd80f26990ece5ea06b188fb81.jpg,https://www2.hm.com//en_gb/productpage.1100263002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1205976_group_001_en_gb,44,GBP,£24.99,home_textiles_cushions_covers,3-pack structure-weave cushion covers,50x50,Light beige,https://image.hm.com/assets/hm/aa/05/aa052d433d60f8a2f80921e380d2cd4875a650aa.jpg,https://www2.hm.com//en_gb/productpage.1205976001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1220957_group_003_en_gb,44,GBP,£2.49,home_cookingdining_napkins,20-pack patterned paper napkins,,"Natural white/Floral,Deep pink/Leopards,Yellow/Leopards",https://image.hm.com/assets/hm/78/26/78266fe9e82f4b271da241d8df512747c5a5aeaf.jpg,https://www2.hm.com//en_gb/productpage.1220957003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1146308_group_012_en_gb,44,GBP,£14.99,home_bathshower_accessories_towels_bathtowels,Hooded bath towel,70x130,"Light beige,Mint green/Dinosaur",https://image.hm.com/assets/hm/1e/28/1e281579793e359473625962dbde10dd25d4bd0d.jpg,https://www2.hm.com//en_gb/productpage.1146308012.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1152378_group_019_en_gb,44,GBP,£12.99,home_storageorganizing,Cotton canvas beach bag,,"Beige/Striped,Dark grey/Striped",https://image.hm.com/assets/hm/6b/d6/6bd6d5f8f6290464cb64d543a741920b4b84870b.jpg,https://www2.hm.com//en_gb/productpage.1152378019.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1136727_group_002_en_gb,44,GBP,£6.99,home_cookingdining_plates,Porcelain mid plate,,"Royal blue/Striped,Red/Striped",https://image.hm.com/assets/hm/a2/28/a228edbe9945d52d6f362c96420ca2c9993ac608.jpg,https://www2.hm.com//en_gb/productpage.1136727002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1220957_group_001_en_gb,44,GBP,£2.49,home_cookingdining_napkins,20-pack patterned paper napkins,,"Deep pink/Leopards,Yellow/Leopards,Natural white/Floral",https://image.hm.com/assets/hm/01/7d/017dfe8d39bf6de7ab0a2cdff8c3251eb4b82b70.jpg,https://www2.hm.com//en_gb/productpage.1220957001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1206055_group_003_en_gb,44,GBP,£24.99,home_homewear,Muslin dressing gown,"S,L,M,XL","Sage green,White,Light mole,Light beige",https://image.hm.com/assets/hm/4e/95/4e958a31d5c0e4f1f8b6f1f8d160d6d37328d42c.jpg,https://www2.hm.com//en_gb/productpage.1206055003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0633039_group_005_en_gb,44,GBP,£24.99,home_decorations_trays,Round marble tray,,"Grey/Marble-patterned,White/Marble",https://image.hm.com/assets/hm/98/2f/982fb590d3c1606098b9820f390c1f3dee1cbc4a.jpg,https://www2.hm.com//en_gb/productpage.0633039005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1136727_group_001_en_gb,44,GBP,£6.99,home_cookingdining_plates,Porcelain mid plate,,"Red/Striped,Royal blue/Striped",https://image.hm.com/assets/hm/2a/4a/2a4ab700a26dff5a998b9f2efc4bffd3ea7d7938.jpg,https://www2.hm.com//en_gb/productpage.1136727001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0888322_group_005_en_gb,44,GBP,£69.99,home_bedlinen_duvetscoversets,Muslin double/king duvet cover set,"DOUBLE,KING","Light mole,White,Sage green,Light beige,dc,dc,dc,dc",https://image.hm.com/assets/hm/93/e2/93e2b62fa1664feedae25fbb1551a089fac490e9.jpg,https://www2.hm.com//en_gb/productpage.0888322005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1123076_group_007_en_gb,44,GBP,£14.99,home_bathshower_accessories_towels_bathtowels,Poncho towel,60x70,"Pink/Flamingo,Blue/Shark",https://image.hm.com/assets/hm/eb/a3/eba325ab55a289197de91beafb4034d635a925ca.jpg,https://www2.hm.com//en_gb/productpage.1123076007.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1123076_group_003_en_gb,44,GBP,£14.99,home_bathshower_accessories_towels_bathtowels,Poncho towel,60x70,"Blue/Shark,Pink/Flamingo",https://image.hm.com/assets/hm/99/4b/994b004ee278d36190935c6c17a493220a5612d7.jpg,https://www2.hm.com//en_gb/productpage.1123076003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1206055_group_002_en_gb,44,GBP,£24.99,home_homewear,Muslin dressing gown,"L,M,XL,S","Light mole,White,Sage green,Light beige",https://image.hm.com/assets/hm/10/ac/10acafe0fd9715119422714ba73cf61b290391b8.jpg,https://www2.hm.com//en_gb/productpage.1206055002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0989756_group_001_en_gb,44,GBP,£14.99,home_storageorganizing_baskets,Lidded storage basket,,Beige,https://image.hm.com/assets/hm/f0/60/f060968a447280f3c2d29dc16fa4ea8b7ce5d0e2.jpg,https://www2.hm.com//en_gb/productpage.0989756001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1208305_group_001_en_gb,44,GBP,£14.99,home_cookwarebakeware_kitchenutencils,Reactive-glaze salt and pepper set,,Light beige/Speckled,https://image.hm.com/assets/hm/57/e8/57e8271c65ec07c5e7183fe77f3eb58c71c1c10e.jpg,https://www2.hm.com//en_gb/productpage.1208305001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1192706_group_007_en_gb,44,GBP,£3.99,home_textiles_cushions_covers,Patterned cushion cover,50x50,"White/Patterned,Light green/Floral,Pink/Floral,Beige/Patterned",https://image.hm.com/assets/hm/64/40/64404f205ead885c36fca0e9873c0f58af01e9c6.jpg,https://www2.hm.com//en_gb/productpage.1192706007.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1186047_group_004_en_gb,44,GBP,£2.99,kids_newbornbaby_toys_rattles,Soft rattle,,"Brown,Yellow/Taxi,Light yellow/Striped",https://image.hm.com/assets/hm/55/61/5561c68b43b7bd3cf1af7cfa64783d47a893835a.jpg,https://www2.hm.com//en_gb/productpage.1186047004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1199494_group_001_en_gb,44,GBP,£29.99,home_decorations_decoraccessories,Lidded seagrass storage basket,,Beige,https://image.hm.com/assets/hm/ab/20/ab20f5ef212d3bfbaf7b62782eff7797088c6117.jpg,https://www2.hm.com//en_gb/productpage.1199494001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0993550_group_003_en_gb,44,GBP,£3.99,home_decorations_candles_scented,Cork-lid scented candle,,"Beige/Sublime Patchouli,Black/Rich Mahogany,White/Sundried Linen,Green/Yuzu Blossom,dc",https://image.hm.com/assets/hm/21/8b/218b7976279dd571995e5a8d8e374d030872c5a8.jpg,https://www2.hm.com//en_gb/productpage.0993550003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1173913_group_004_en_gb,44,GBP,£39.99,home_bedlinen_duvetscoversets,Cotton double/king duvet cover set,"DOUBLE,KING","Green/Striped,Black/Striped,Light greige/White striped,Light blue/Striped",https://image.hm.com/assets/hm/4a/fe/4afe71e26535ac6c16b956ec34191ebbe1cf2bcf.jpg,https://www2.hm.com//en_gb/productpage.1173913004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0993550_group_002_en_gb,44,GBP,£3.99,home_decorations_candles_scented,Cork-lid scented candle,,"White/Sundried Linen,Black/Rich Mahogany,Beige/Sublime Patchouli,Green/Yuzu Blossom,dc",https://image.hm.com/assets/hm/9b/a9/9ba97dffd598b3a0c4ede028eddbdcb53db7ac87.jpg,https://www2.hm.com//en_gb/productpage.0993550002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1205081_group_002_en_gb,44,GBP,£14.99,home_cookingdining_tablecloths,Floral tablecloth,D190,"Natural white/Floral,Black/Floral",https://image.hm.com/assets/hm/3a/95/3a953d2b5e26ae841a38e12f4054935fddc732b0.jpg,https://www2.hm.com//en_gb/productpage.1205081002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1206087_group_002_en_gb,44,GBP,£5.99,home_cookingdining_cupsmugs,Patterned plastic mug with a straw,,"Light green/Dinosaurs,Yellow/Lemons,Red/Strawberries",https://image.hm.com/assets/hm/27/86/2786cd7e3247667857f481341084050247dfa631.jpg,https://www2.hm.com//en_gb/productpage.1206087002.html
E0003,United Kingdom - H&M,2024-03-03,Welbeck Publishing Group,1183275_group_001_en_gb,44,GBP,£14.99,home_decorations_books,Little Book of Dior,,Beige,https://image.hm.com/assets/hm/75/2b/752b4dda21a626a73b29d0623d358bce841a9e1f.jpg,https://www2.hm.com//en_gb/productpage.1183275001.html
