dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,0812789_group_001_en_gb,44,GBP,£9.00,home_decorations_vases,Large ceramic vase,,Light beige,https://image.hm.com/assets/hm/77/a8/77a89cc5dc9f7943aea25afe62a41fb4f13484f3.jpg,https://www2.hm.com//en_gb/productpage.0812789001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0812790_group_001_en_gb,44,GBP,£5.00,home_decorations_all,Ceramic vase,,Light beige,https://image.hm.com/assets/hm/f3/07/f307a047c51aec719005a56545873286a66c7fcd.jpg,https://www2.hm.com//en_gb/productpage.0812790001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1065446_group_001_en_gb,44,GBP,£2.00,home_decorations_vases,Stoneware mini vase,,Light beige,https://image.hm.com/assets/hm/92/cc/92cc971a5ed0e8121eed92ef6c0aa8615c81c909.jpg,https://www2.hm.com//en_gb/productpage.1065446001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0683334_group_001_en_gb,44,GBP,£8.00,home_bathshower_accessories_bathroomaccessories,Metal table mirror,,Black,https://image.hm.com/assets/hm/93/60/936060a3e4cdd26bfa0551e480e39af3324aa4f7.jpg,https://www2.hm.com//en_gb/productpage.0683334001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0946626_group_004_en_gb,44,GBP,£18.00,kids_newbornbaby_essentials_babymat,Cotton baby mat,95x116,"Light pink,Dark grey,Light beige",https://image.hm.com/assets/hm/34/9e/349ea2a4a6e611d8c7adf50f7b64f766b948ccac.jpg,https://www2.hm.com//en_gb/productpage.0946626004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0990788_group_001_en_gb,44,GBP,£9.00,home_kitchen_servingware,Round cotton tablecloth,D190,"Dark grey,White",https://image.hm.com/assets/hm/7c/6f/7c6f2ff791d4810c846c294698b16f21cb5d9c72.jpg,https://www2.hm.com//en_gb/productpage.0990788001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0992045_group_002_en_gb,44,GBP,£11.00,kids_newbornbaby_toys_softtoys,Soft toy,,Beige/Teddy bear,https://image.hm.com/assets/hm/99/e9/99e9d6cf30ca33e894405016980f2362d4a4078f.jpg,https://www2.hm.com//en_gb/productpage.0992045002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0877554_group_001_en_gb,44,GBP,£14.00,home_decorations_vases,Ceramic vase,,Greige,https://image.hm.com/assets/hm/c3/d0/c3d0b0408e88bfe64d0ba2d2fa41f3bdc636864c.jpg,https://www2.hm.com//en_gb/productpage.0877554001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1030019_group_001_en_gb,44,GBP,£11.00,kids_boys_clothing_nightwear_dressinggowns,Waffled hooded dressing gown,"2Y,5Y,3Y,6Y,4Y",Light beige,https://image.hm.com/assets/hm/43/67/43679c9e73eb5f7257af0b946940db3e33d8bc7e.jpg,https://www2.hm.com//en_gb/productpage.1030019001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1082182_group_001_en_gb,44,GBP,£6.00,home_decorations_mirrors,Metal wire hand mirror,,Gold-coloured,https://image.hm.com/assets/hm/29/fa/29fa9940869099580916553b327d636a49252aca.jpg,https://www2.hm.com//en_gb/productpage.1082182001.html
