dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1207498_group_003_en_gb,44,GBP,£2.99,kids_girls_clothing_topstshirts_tshirts,Jersey top with broderie anglaise,"1Y,8Y,3Y,5Y,4Y,6Y,2Y,9Y,10Y,7Y","Pink,White,Light green,Powder pink",https://image.hm.com/assets/hm/24/2a/242ad69610b24ac79ed42040a3961a212446fc13.jpg,https://www2.hm.com//en_gb/productpage.1207498003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1207498_group_009_en_gb,44,GBP,£2.99,kids_girls_clothing_topstshirts_tshirts,Jersey top with broderie anglaise,"8Y,7Y,10Y,9Y,6Y","Powder pink,White,Light green,Pink",https://image.hm.com/assets/hm/1b/0a/1b0ae73719f6d54416a255ec954256331ca88ed9.jpg,https://www2.hm.com//en_gb/productpage.1207498009.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1226334_group_001_en_gb,44,GBP,£3.99,kids_girls_clothing_topstshirts_tshirts,Frill-trimmed ribbed T-shirt,"3Y,4Y,6Y,8Y,9Y,1Y,7Y,10Y,5Y,2Y","Dusty pink/Floral,Blue/Floral,White/Spotted,White/Cherries",https://image.hm.com/assets/hm/13/3e/133eb049309699949c56483c6e3a0f48396b228c.jpg,https://www2.hm.com//en_gb/productpage.1226334001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1157735_group_047_en_gb,44,GBP,£3.99,kids_girls_clothing_dresses,Patterned cotton dress,"2Y,3Y,5Y,4Y,7Y,10Y,8Y,1Y,9Y,6Y","Light blue/Cherries,Natural white/Unicorns,Light pink/Kitten,Light green/Unicorns,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/03/15/0315ca54972a41122ea1912c28a85a12afc7353f.jpg,https://www2.hm.com//en_gb/productpage.1157735047.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1207498_group_001_en_gb,44,GBP,£2.99,kids_girls_clothing_topstshirts_tshirts,Jersey top with broderie anglaise,"9Y,10Y,7Y,6Y,8Y","White,Light green,Pink,Powder pink",https://image.hm.com/assets/hm/b1/8d/b18d6d3ee12cd6db8e017430fd9f0b55f059be80.jpg,https://www2.hm.com//en_gb/productpage.1207498001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0930126_group_085_en_gb,44,GBP,£2.99,kids_girls_clothing_topstshirts_tshirts,Printed T-shirt,"2Y,3Y,7Y,5Y,1Y,6Y,4Y,8Y,9Y,10Y","White/Butterflies,White/Unicorn,White/Seashells,Dark grey/Floral,dc,dc",https://image.hm.com/assets/hm/39/62/3962d55101e869e19f69f46ae04bb349c5a89980.jpg,https://www2.hm.com//en_gb/productpage.0930126085.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1207498_group_002_en_gb,44,GBP,£2.99,kids_girls_clothing_topstshirts_tshirts,Jersey top with broderie anglaise,"2Y,3Y,10Y,6Y,9Y,8Y,1Y,4Y,7Y,5Y","Light green,White,Pink,Powder pink",https://image.hm.com/assets/hm/e9/71/e971f96484532e8b03fe3b16a7d1f60cd741b4ee.jpg,https://www2.hm.com//en_gb/productpage.1207498002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1216652_group_002_en_gb,44,GBP,£2.99,kids_boys_clothing_tshirtsshirts_tshirts,Printed T-shirt,"8Y,3Y,6Y,4Y,9Y,7Y,5Y,1Y,10Y,2Y","Beige/Vehicles,Natural white/NASA,White/Dinosaurs,Natural white/Patterned,dc,dc,dc,dc",https://image.hm.com/assets/hm/02/db/02db5577783cc7f588255e8c78230b5749d49cdb.jpg,https://www2.hm.com//en_gb/productpage.1216652002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1157735_group_055_en_gb,44,GBP,£3.99,kids_girls_clothing_dresses,Patterned cotton dress,"1Y,10Y,7Y,8Y,9Y,5Y,2Y,6Y,4Y,3Y","Pink/Floral,Natural white/Unicorns,Light pink/Kitten,Light green/Unicorns,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/ab/e4/abe434f43de4900e02606c26650bfdbfbae3e78d.jpg,https://www2.hm.com//en_gb/productpage.1157735055.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0930126_group_089_en_gb,44,GBP,£2.99,kids_girls_clothing_topstshirts_tshirts,Printed T-shirt,"2Y,4Y,7Y,6Y,9Y,1Y,5Y,3Y,8Y,10Y","Lilac/Unicorns,White/Unicorn,White/Seashells,White/Butterflies,dc,dc",https://image.hm.com/assets/hm/11/d6/11d6db99a23e9f8e4dc74c769bc9f34f878ab275.jpg,https://www2.hm.com//en_gb/productpage.0930126089.html
