dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1128805_group_001_en_gb,44,GBP,£11.00,kids_girls_clothing_jacketscoats_raincoats,Wind/waterproof shell trousers,"4Y,5Y,2Y,1Y,3Y",Black,https://image.hm.com/assets/hm/c1/03/c103ba76594e3f23ff122ea060f93a85210b0774.jpg,https://www2.hm.com//en_gb/productpage.1128805001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1222055_group_001_en_gb,44,GBP,£11.00,kids_oldergirls_clothing_topstshirts_longsleeve,2-piece jersey set,"9Y,8Y","Black,Light pink",https://image.hm.com/assets/hm/2e/96/2e965572dd35fd3f62452880d8aa1a83e35b1012.jpg,https://www2.hm.com//en_gb/productpage.1222055001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0754138_group_044_en_gb,44,GBP,£19.00,kids_olderboys_clothing_blazerssuits,Textured-weave jacket,"9Y,13Y,12Y,8Y,10Y","Dark grey,Navy blue,Light beige,Light blue,dc",https://image.hm.com/assets/hm/95/c5/95c5ee28181d2e8d5c5e139b50e88ad93188d127.jpg,https://www2.hm.com//en_gb/productpage.0754138044.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0922700_group_045_en_gb,44,GBP,£2.00,kids_girls_clothing_topstshirts_longsleeve,Printed jersey top,"6Y,4Y,8Y,5Y,7Y","Light turquoise/Owl,Light beige/Hearts,White/Unicorns,Purple/Ghost,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/d7/d3/d7d3aee0332fe3a2aa98619bb5edbd52877ccadd.jpg,https://www2.hm.com//en_gb/productpage.0922700045.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1162957_group_001_en_gb,44,GBP,£2.00,kids_girls_accessories_hairaccessories,6-pack hair elastics,,"Light pink/Yellow,Bright pink/Lilac",https://image.hm.com/assets/hm/14/50/1450949c210d9caa82937fb71ff33327f959b375.jpg,https://www2.hm.com//en_gb/productpage.1162957001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1089501_group_001_en_gb,44,GBP,£6.00,kids_boys_clothing_tshirtsshirts_tshirts_longsleeve,Printed cotton jersey top,"7Y,6Y,4Y,8Y,5Y",White/Paw Patrol,https://image.hm.com/assets/hm/99/6a/996a89ff8e5aaa4f6450f1858fb02b3ded580911.jpg,https://www2.hm.com//en_gb/productpage.1089501001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1143250_group_005_en_gb,44,GBP,£4.00,kids_boys_accessories_hats,Printed jersey hat,"5Y,1Y,2Y,4Y,6Y,3Y","Black/Sonic the Hedgehog,Dark blue/Spider-Man,Black/Marvel Comics,Black/Pokémon",https://image.hm.com/assets/hm/81/76/81763cf6da9984a87fae79400782e2f8aa5641e2.jpg,https://www2.hm.com//en_gb/productpage.1143250005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0997004_group_001_en_gb,44,GBP,£11.00,kids_girls_shoes_trainers_hightops,Teddy-lined hi-tops,"10.5,13.5,7",Black,https://image.hm.com/assets/hm/4d/ce/4dcec9199d63369c62fd54833c571279faa2bcc2.jpg,https://www2.hm.com//en_gb/productpage.0997004001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1148014_group_005_en_gb,44,GBP,£10.00,kids_oldergirls_clothing_dresses_party,Tiered dress,"13Y,10Y,8Y,11Y,9Y,14Y,14Y+,12Y","Light green/Floral,Light blue,Light pink",https://image.hm.com/assets/hm/f7/66/f766281392de35490d06aa4a2372bf4993fa83bf.jpg,https://www2.hm.com//en_gb/productpage.1148014005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1143250_group_002_en_gb,44,GBP,£4.00,kids_boys_accessories_hats,Printed jersey hat,"2Y,3Y,7Y,9Y,8Y,5Y,1Y,10Y,6Y,4Y","Dark blue/Spider-Man,Black/Marvel Comics,Black/Sonic the Hedgehog,Black/Pokémon",https://image.hm.com/assets/hm/31/9e/319ed87338d31c05af94be570fb10cf2f4fdf541.jpg,https://www2.hm.com//en_gb/productpage.1143250002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1166358_group_005_en_gb,44,GBP,£10.00,kids_oldergirls_clothing_jumperssweatshirts_jumpers,Cotton-blend jumper,"11Y,8Y,12Y,10Y,9Y",Light grey,https://image.hm.com/assets/hm/65/86/6586a4e176133d9196902020a010a5dacff04cb9.jpg,https://www2.hm.com//en_gb/productpage.1166358005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0785904_group_163_en_gb,44,GBP,£8.00,kids_boys_clothing_nightwear_pyjamas,Printed pyjamas,"1Y,4Y,2Y,3Y","White/Bright blue,Blue/Spider-Man,Light blue/Paw Patrol,Bright blue/Sonic the Hedgehog,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/fc/e3/fce3b908cab9ec6b287d5cecb7cf334121e30f7d.jpg,https://www2.hm.com//en_gb/productpage.0785904163.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1200817_group_001_en_gb,44,GBP,£13.00,kids_oldergirls_clothing_jacketscoats_bomber,Satin bomber jacket,"8Y,10Y,12Y,9Y,14Y+,14Y,11Y,13Y",Light pink,https://image.hm.com/assets/hm/e8/3c/e83cf6b455d5cd3061cff73420cd71352f00d35c.jpg,https://www2.hm.com//en_gb/productpage.1200817001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1139040_group_002_en_gb,44,GBP,£2.00,kids_oldergirls_clothing_topstshirts_tshirts,Printed T-shirt,"9Y,14Y,8Y,11Y,13Y,10Y,12Y","Light green/Flowers,White/Brown",https://image.hm.com/assets/hm/af/cc/afcca6c26a278622761ebed1032a6561a8daa9c5.jpg,https://www2.hm.com//en_gb/productpage.1139040002.html
