dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1106189_group_001_en_gb,44,GBP,£37.99,men_trousers_cargo,Regular Fit Ripstop cargo trousers,"XS,M,S,XXL,L,XL","Black,Khaki green,Dark grey,Light beige,dc,dc,dc",https://image.hm.com/assets/hm/eb/8c/eb8c653274b3329e92c616a4ec34d8307b34539f.jpg,https://www2.hm.com//en_gb/productpage.1106189001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1019838_group_001_en_gb,44,GBP,£27.99,men_trousers_chinos_slim_all,Slim Fit Cotton chinos,"42,34/34,31/32,33/30,42/32,34,30,28,30/32,29,31,32/30,30/30,29/30,28/32,34/32,32,33/34,36,33/32,33,32/32,30/34,36/32","Black,Beige,Dark blue,Khaki green,dc,dc",https://image.hm.com/assets/hm/b8/4f/b84fad52343f6579f98ac932dae91806a74b5f99.jpg,https://www2.hm.com//en_gb/productpage.1019838001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1013956_group_011_en_gb,44,GBP,£19.99,men_shirts_casual,Regular Fit Oxford shirt,"XS,S,M,XL,XXL,L","Dark blue,White,Light blue,Beige,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/fa/62/fa623b68b85a3e84a823ff4a257e6840adc2cb3c.jpg,https://www2.hm.com//en_gb/productpage.1013956011.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1215865_group_002_en_gb,44,GBP,£32.99,men_shoes_loafers,Sporty loafers,"10.5,9,11,6.5,7.5,8,9.5","Beige,Navy blue",https://image.hm.com/assets/hm/37/1d/371deb34cd01ab272713624101879d022ac1517d.jpg,https://www2.hm.com//en_gb/productpage.1215865002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1207360_group_001_en_gb,44,GBP,£19.99,men_shirts_casual,Regular Fit Twill shirt,"XL,L,XXL,S,XS,M",Black/White checked,https://image.hm.com/assets/hm/2d/62/2d629d8f727b742471a6c9e3d193ad130032312a.jpg,https://www2.hm.com//en_gb/productpage.1207360001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1216640_group_002_en_gb,44,GBP,£37.99,men_jacketscoats_shirtjackets,Regular Fit Waffled shirt,"XXL,L,S,M,XS,XL","Cream,Navy blue",https://image.hm.com/assets/hm/98/d1/98d1104c059cf808ff42e0d638a7e66bd7f4ea14.jpg,https://www2.hm.com//en_gb/productpage.1216640002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1216500_group_001_en_gb,44,GBP,£27.99,men_tshirtstanks_longsleeve,Regular Fit Jersey top,"M,XXL,S,XS,XL,L",Navy blue/Striped,https://image.hm.com/assets/hm/a3/67/a3678a3ecbfdfa5fc2e6d80fb7c880f3068ff2e8.jpg,https://www2.hm.com//en_gb/productpage.1216500001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1160969_group_005_en_gb,44,GBP,£32.99,men_jacketscoats_jackets,Regular Fit Windbreaker,"M,S,XXL,XL,XS,L","Light beige,Black,Cream,Orange",https://image.hm.com/assets/hm/cc/fe/ccfe0f81feffff163cf9d4e7370df2bdfb07eaea.jpg,https://www2.hm.com//en_gb/productpage.1160969005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1211685_group_002_en_gb,44,GBP,£37.99,men_jacketscoats_shirtjackets,Regular Fit Denim overshirt,"XXL,XL,M,S,L,XS","Denim blue,Denim black,Dark denim blue",https://image.hm.com/assets/hm/9b/7f/9b7fb2efd847b52c6ddb4c84ba515fcfa0b4ad36.jpg,https://www2.hm.com//en_gb/productpage.1211685002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1208303_group_002_en_gb,44,GBP,£64.99,men_jacketscoats_coats,Regular Fit Car coat,"XXL,XS,L,M,XL,S",Light beige,https://image.hm.com/assets/hm/ba/b1/bab115dbe24aafeb5c9661375a97eaeced95aab0.jpg,https://www2.hm.com//en_gb/productpage.1208303002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1214828_group_001_en_gb,44,GBP,£54.99,men_jacketscoats_jackets,Loose Fit Twill jacket,"XL,XXL,M,S,XS,L","Beige,Black",https://image.hm.com/assets/hm/03/31/033197b6dae05f96875583c5cb6cde8056773bf2.jpg,https://www2.hm.com//en_gb/productpage.1214828001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1206601_group_003_en_gb,44,GBP,£37.99,men_trousers_cargo,Regular Fit Cargo trousers,"S,M,XS,XXL,XL,L","Cream,Black",https://image.hm.com/assets/hm/68/a7/68a77934361a5e12973023d9e230460cc2cdf8f6.jpg,https://www2.hm.com//en_gb/productpage.1206601003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1208292_group_001_en_gb,44,GBP,£44.99,men_jacketscoats_jackets,Regular Fit Twill jacket,"L,XS,S,XXL,M,XL","Light grey,Navy blue",https://image.hm.com/assets/hm/d4/8a/d48aed8514fb7967253245953f3dd4eba97691c9.jpg,https://www2.hm.com//en_gb/productpage.1208292001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0783359_group_038_en_gb,44,GBP,£11.99,men_accessories_hatscaps_caps,Cap with an appliqué,,"Beige/NYC,Navy blue,White/New York,Dark blue/Beige",https://image.hm.com/assets/hm/c1/00/c1005950c0567cec6937985da237302f123a5900.jpg,https://www2.hm.com//en_gb/productpage.0783359038.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0685816_group_001_en_gb,44,GBP,£4.99,men_tshirtstanks_shortsleeve,Regular Fit T-shirt,"XXL,XL,M,S,XS,L","White,Black,Grey marl,Dark grey,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/b4/2f/b42f8aa4f6b4ba829cca3465b795889d9d0db483.jpg,https://www2.hm.com//en_gb/productpage.0685816001.html
