dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1043492_group_005_en_gb,44,GBP,£12.00,men_hoodiessweatshirts_sweatshirts,Regular Fit Ribbed sweatshirt,"S,XL,L,M,XXL,XS","Black,White",https://image.hm.com/assets/hm/ef/85/ef85fecd7bcc49c66714e23ae5c6dc414b4de986.jpg,https://www2.hm.com//en_gb/productpage.1043492005.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1074402_group_002_en_gb,44,GBP,£8.00,men_trousers,Slim Fit Cotton twill trousers,"33,32,30,34,42/32,30/34,31,42,32/32","Navy blue,Black,Dark grey,Khaki green,dc,dc,dc,dc",https://image.hm.com/assets/hm/af/0e/af0e72d9d59fa303d86f0238f0b2da3e8c665a60.jpg,https://www2.hm.com//en_gb/productpage.1074402002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1101074_group_017_en_gb,44,GBP,£9.00,men_tshirtstanks_shortsleeve,Slim Fit Pima cotton T-shirt,"L,XXL,M","Light blue,White,Black,Beige,dc,dc",https://image.hm.com/assets/hm/9b/ec/9becab592400fe3a1cd87bc01e44f071b416c124.jpg,https://www2.hm.com//en_gb/productpage.1101074017.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1201596_group_001_en_gb,44,GBP,£27.00,men_jacketscoats_fleeceteddy,Oversized Fit Teddy jacket,"L,M",White/Snoopy,https://image.hm.com/assets/hm/c6/6e/c66e1031787c9629eeaf5d73325b9f3b1e908c79.jpg,https://www2.hm.com//en_gb/productpage.1201596001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1002227_group_013_en_gb,44,GBP,£20.00,men_trousers_cargo,Cargo joggers,"M,L","White,Black,Khaki green,Dark grey,dc,dc",https://image.hm.com/assets/hm/66/07/660740532368338c273791d92e308e445a5af9c5.jpg,https://www2.hm.com//en_gb/productpage.1002227013.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0970818_group_040_en_gb,44,GBP,£9.00,men_hoodiessweatshirts_sweatshirts,Loose Fit Sweatshirt,XS,"Light greige,Black,Light grey marl,White,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/1e/38/1e38a1df81f7f7c589f03292cff69e058477526c.jpg,https://www2.hm.com//en_gb/productpage.0970818040.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1158262_group_001_en_gb,44,GBP,£6.00,sportswear_men_activity_training_accessories,Medium resistance band,,Dark green,https://image.hm.com/assets/hm/90/53/9053e4184b621844dc43242b283ff57f13c64adf.jpg,https://www2.hm.com//en_gb/productpage.1158262001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1054019_group_008_en_gb,44,GBP,£11.00,men_shorts,Regular Fit Linen-blend shorts,"S,M,XS,XL,XXL,L","White/Beige striped,White/Black striped,Light beige,Light blue/White striped,dc",https://image.hm.com/assets/hm/57/71/5771ff8f0f51ae8e15ab08b46901049986713721.jpg,https://www2.hm.com//en_gb/productpage.1054019008.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1117747_group_002_en_gb,44,GBP,£17.00,men_hoodiessweatshirts_sweatshirts,Loose Fit Sweatshirt,L,"Black/Stranger Things,Black/The Discovery Channel,Dark brown/The Simpsons,White/South Park,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc,dc",https://image.hm.com/assets/hm/f5/44/f544e476d00044a49bd4151df0e8edd1412daab1.jpg,https://www2.hm.com//en_gb/productpage.1117747002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1113156_group_002_en_gb,44,GBP,£20.00,men_hoodiessweatshirts_hoodies,Oversized Fit Hoodie,"S,M,XS","Plum purple/Detroit,Black/Days of the Hoops,Light grey marl/Harlem",https://image.hm.com/assets/hm/16/6d/166d0dc2cf952f502216bc84cee20b90b9049760.jpg,https://www2.hm.com//en_gb/productpage.1113156002.html
