dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1090987_group_001_en_gb,44,GBP,£6.00,sportswear_women_activity_training_shorts,Seamless Sports cycling shorts,"XS,S","Black,Orange",https://image.hm.com/assets/hm/28/20/2820c0835da85bcde74392a4938d366ca48ce420.jpg,https://www2.hm.com//en_gb/productpage.1090987001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1169989_group_001_en_gb,44,GBP,£27.00,sportswear_women_activity_hiking_trousersleggings,Water-repellent outdoor trousers,"XS,M,XL,L",Black,https://image.hm.com/assets/hm/2f/6c/2f6ceb9c563141f5af4eb93d07331eae96b9f1fe.jpg,https://www2.hm.com//en_gb/productpage.1169989001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1167610_group_001_en_gb,44,GBP,£12.00,sportswear_women_activity_yoga_tops,DryMove™ Seamless Cropped sports top,"XXL,L,XL","Black,Dark brown,Light beige",https://image.hm.com/assets/hm/fb/d1/fbd1726e6e7f1ae432c338c612cb6247567093e3.jpg,https://www2.hm.com//en_gb/productpage.1167610001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1158262_group_001_en_gb,44,GBP,£6.00,sportswear_men_activity_training_accessories,Medium resistance band,,Dark green,https://image.hm.com/assets/hm/90/53/9053e4184b621844dc43242b283ff57f13c64adf.jpg,https://www2.hm.com//en_gb/productpage.1158262001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1071972_group_001_en_gb,44,GBP,£11.00,kids_girls_sportswear_trousersjoggers,Wide track pants,"4Y,3Y",Black,https://image.hm.com/assets/hm/9d/10/9d1009867067549b339ebc456947a164b7f152da.jpg,https://www2.hm.com//en_gb/productpage.1071972001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1184153_group_001_en_gb,44,GBP,£8.00,sportswear_women_clothing_tops_crop,DryMove™ Cropped sports top,"L,S,XS,XL,XXL,M","Black,Bright red,Cream",https://image.hm.com/assets/hm/16/8e/168e6e77f0e5b68bfebbd902e1eec2657888c486.jpg,https://www2.hm.com//en_gb/productpage.1184153001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1166126_group_003_en_gb,44,GBP,£8.00,sportswear_women_activity_training_tops,DryMove™ Seamless Cropped sports top,"S,XS","Cerise,Black,White",https://image.hm.com/assets/hm/9c/c3/9cc3627c54492154bfc561822844b5ab7668503a.jpg,https://www2.hm.com//en_gb/productpage.1166126003.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1089589_group_001_en_gb,44,GBP,£8.00,sportswear_women_activity_training_bra,Seamless Sports bra,"XS,S,M","Dark blue,Pink/Striped,Black",https://image.hm.com/assets/hm/2d/d0/2dd010adac3f2d1d9fa325a2a171fa6441846912.jpg,https://www2.hm.com//en_gb/productpage.1089589001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1196930_group_004_en_gb,44,GBP,£11.00,sportswear_women_activity_yoga_tops,DryMove™ Cropped sports vest top,"XXL,L,S,XL,XS,M","Light khaki green,Dark brown,Cream",https://image.hm.com/assets/hm/68/de/68de53634238b9a0ee59b02150b0b0007fbf49e2.jpg,https://www2.hm.com//en_gb/productpage.1196930004.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1129964_group_004_en_gb,44,GBP,£23.00,ladies_sport_bottoms_trousers,Sports cargo trousers,"M,L,XL,3XL,S","Black,Light khaki green",https://image.hm.com/assets/hm/d0/32/d03203023451f3a688de4da28570ee65daf6bbb0.jpg,https://www2.hm.com//en_gb/productpage.1129964004.html
