dbq_prd_type,website_name,competence_date,brand,product_code,country_code,currency_code,price,CategoryCode,title,sizes,colors,img_url,item_url
E0003,United Kingdom - H&M,2024-03-03,H&M,1091186_group_001_en_gb,44,GBP,£18.99,ladies_trousers_highwaisted,High-waisted tailored trousers,"XXL,4XL,S,3XL,XS","Black,Dark grey/Checked,Navy blue,Dark blue/Pinstriped",https://image.hm.com/assets/hm/37/7f/377f1997e8c143d7c78ad1bfd1e5f7abb7ce0dca.jpg,https://www2.hm.com//en_gb/productpage.1091186001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1142908_group_008_en_gb,44,GBP,£9.99,ladies_basics_tops_shortsleeve,Fitted microfibre T-shirt,"XL,XXL,M,S,L,XS","White,Black,Dark grey,Light beige,dc",https://image.hm.com/assets/hm/8f/de/8fde102f6f0a8876d27ad79c145302727fb4620d.jpg,https://www2.hm.com//en_gb/productpage.1142908008.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0579541_group_151_en_gb,44,GBP,£12.99,ladies_basics_cardigansjumpers,Fine-knit cardigan,"S,L,XS,M,XL","Black/Striped,Black,Cream,Beige/Striped,dc",https://image.hm.com/assets/hm/3c/22/3c2242911941626b3c818e3dcf754818f852ad37.jpg,https://www2.hm.com//en_gb/productpage.0579541151.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1191700_group_001_en_gb,44,GBP,£12.99,ladies_basics_tops_longsleeve,Jersey top,"M,S,XXL,XL,XS,L","Black,White,Dark grey,Greige",https://image.hm.com/assets/hm/d2/48/d248c1e4765a9721932873c1137953f2811226aa.jpg,https://www2.hm.com//en_gb/productpage.1191700001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1142908_group_001_en_gb,44,GBP,£9.99,ladies_basics_tops_shortsleeve,Fitted microfibre T-shirt,"XL,XXL,L,S,XS,M","Black,White,Dark grey,Light beige,dc",https://image.hm.com/assets/hm/31/2d/312de7b1191523974ad9f68c02c87dddd06c5d89.jpg,https://www2.hm.com//en_gb/productpage.1142908001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1191700_group_010_en_gb,44,GBP,£12.99,ladies_basics_tops_longsleeve,Jersey top,"XL,XS,M,XXL,L,S","Greige,Black,White,Dark grey",https://image.hm.com/assets/hm/04/54/045458575c93306d541cf9a86a96bc4d33af2d70.jpg,https://www2.hm.com//en_gb/productpage.1191700010.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1177837_group_001_en_gb,44,GBP,£18.99,ladies_cardigansjumpers_cardigans,Textured cardigan,"M,XS,L,XL,S","Black,Black/White,Navy blue,Light blue",https://image.hm.com/assets/hm/ec/f6/ecf60a54f17823ae57917db37d95ba8d052e8cd9.jpg,https://www2.hm.com//en_gb/productpage.1177837001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0579541_group_165_en_gb,44,GBP,£12.99,ladies_basics_cardigansjumpers,Fine-knit cardigan,"XXL,L,XL,XS,S,M","Natural white,Black,Cream,Black/Striped,dc",https://image.hm.com/assets/hm/cc/76/cc765ad84d35767f53156bf375776cd1e5e9b1ef.jpg,https://www2.hm.com//en_gb/productpage.0579541165.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1191700_group_002_en_gb,44,GBP,£12.99,ladies_basics_tops_longsleeve,Jersey top,"M,XS,XL,XXL,S,L","White,Black,Dark grey,Greige",https://image.hm.com/assets/hm/0e/6f/0e6fe3e05455ff43a54b014384aa2ec93c152c5b.jpg,https://www2.hm.com//en_gb/productpage.1191700002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1138003_group_002_en_gb,44,GBP,£15.99,ladies_trousers_highwaisted,Linen-blend pull-on trousers,"L,S,M,XL,XS,XXL","Light beige,Black",https://image.hm.com/assets/hm/e9/f4/e9f4f07c6019fda7fb44d5a5eff3c1faa90fdeae.jpg,https://www2.hm.com//en_gb/productpage.1138003002.html
E0003,United Kingdom - H&M,2024-03-03,H&M,0579541_group_001_en_gb,44,GBP,£12.99,ladies_basics_cardigansjumpers,Fine-knit cardigan,"S,M,XS,L","Black,Cream,Black/Striped,Beige/Striped,dc",https://image.hm.com/assets/hm/10/85/10855504c9e423308b1efcfe363bb4479dc9d419.jpg,https://www2.hm.com//en_gb/productpage.0579541001.html
E0003,United Kingdom - H&M,2024-03-03,H&M,1142908_group_021_en_gb,44,GBP,£9.99,ladies_basics_tops_shortsleeve,Fitted microfibre T-shirt,"M,XL,S,L,XXL","Light beige,Black,White,Dark grey,dc",https://image.hm.com/assets/hm/ef/49/ef491f22dc252d778706cd4396825ea6ce81483a.jpg,https://www2.hm.com//en_gb/productpage.1142908021.html
